 4090 (Cont.),,,,  FORM CMS-2552-10,,,,,,08-11,
SHEET_NAME:RECLASSIFICATION AND ADJUSTMENT OF TRIAL BALANCE OF EXPENSES,,,,, PROVIDER CCN:,, PERIOD:,, WORKSHEET A,,
,,,,,,, FROM ____________,,,,
,,,,, ________________,, TO _______________,,,,
,,,,,,,RECLASSIFIED,,NET EXPENSES,,
,,COST CENTER DESCRIPTIONS,,,TOTAL,RECLASSIFI-,TRIAL BALANCE,,FOR ALLOCATION,,
,,(omit cents),SALARIES,OTHER,(col. 1 + col. 2),CATIONS,(col. 3 � col. 4),ADJUSTMENTS,(col. 5 � col. 6),,
CLMN_NUM_1:SALARIES,CLMN_NUM_2:OTHER,CLMN_NUM_3:TOTAL,CLMN_NUM_4:RECLASSIFICATIONS,CLMN_NUM_5:TRIAL BALANCE,CLMN_NUM_6:ADJUSTMENTS,CLMN_NUM_7:FOR ALLOCATION,
,,,1,2,3,4,5,6,7,,
,,SUBSECT_NAME:GENERAL SERVICE COST CENTERS, , , , , , , ,,
1 ,00100, Capital Related Costs-Buildings and Fixtures, ,,,,,,,1 ,
2 ,00200, Capital Related Costs-Movable Equipment, ,,,,,,,2 ,
3 ,00300, Other Capital Related Costs,,,,,,,-0-,3 ,
4 ,00400, Employee Benefits,,,,,,,,4 ,
5 ,00500, Administrative and General,,,,,,,,5 ,
6 ,00600, Maintenance and Repairs,,,,,,,,6 ,
7 ,00700, Operation of Plant,,,,,,,,7 ,
8 ,00800, Laundry and Linen Service,,,,,,,,8 ,
9 ,00900, Housekeeping,,,,,,,,9 ,
10 ,01000, Dietary,,,,,,,,10 ,
11 ,01100, Cafeteria,,,,,,,,11 ,
12 ,01200, Maintenance of Personnel,,,,,,,,12 ,
13 ,01300, Nursing Administration,,,,,,,,13 ,
14 ,01400, Central Services and Supply,,,,,,,,14 ,
15 ,01500, Pharmacy,,,,,,,,15 ,
16 ,01600, Medical Records & Medical Records Library,,,,,,,,16 ,
17 ,01700, Social Service,,,,,,,,17 ,
18 ,, Other General Service (specify),,,,,,,,18 ,
19 ,01900, Nonphysician Anesthetists,,,,,,,,19 ,
20 ,02000, Nursing School,,,,,,,,20 ,
21 ,02100, Intern & Res. Service-Salary & Fringes (Approved),,,,,,,,21 ,
22 ,02200, Intern & Res. Other Program Costs (Approved),,,,,,,,22 ,
23 ,02300, Paramedical Ed. Program (specify) ,,,,,,,,23 ,
,,SUBSECT_NAME:INPATIENT ROUTINE SERVICE COST CENTERS, , , , , , , ,,
30 ,03000, Adults and Pediatrics (General Routine Care),,,,,,,,30 ,
31 ,03100, Intensive Care Unit,,,,,,,,31 ,
32 ,03200, Coronary Care Unit,,,,,,,,32 ,
33 ,03300, Burn Intensive Care Unit,,,,,,,,33 ,
34 ,03400, Surgical Intensive Care Unit,,,,,,,,34 ,
35 ,, Other Special Care (specify),,,,,,,,35 ,
40 ,04000, Subprovider - IPF,,,,,,,,40 ,
41 ,04100, Subprovider - IRF,,,,,,,,41 ,
42 ,04200, Subprovider (specify),,,,,,,,42 ,
43 ,04300, Nursery,,,,,,,,43 ,
44 ,04400, Skilled Nursing Facility,,,,,,,,44 ,
45 ,04500, Nursing Facility,,,,,,,,45 ,
46 ,04600, Other Long Term Care,,,,,,,,46 ,
,,,,,,,,,,,
,,,,,,,,,,,
"FORM CMS-2552-10 (08/2011)  (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 4013)",,,,,,,,,,,
40-524,,,,,,,,,,Rev. 2,
08-11,,,,  FORM CMS-2552-10,,,,,, 4090 (Cont.),
